index,cumulative_v_fraction,cumulative_c_fraction,symbol
318,0.455975,0.544025,v
319,0.457680,0.542320,v
320,0.456250,0.543750,c
321,0.457944,0.542056,v
322,0.456522,0.543478,c
323,0.458204,0.541796,v
324,0.456790,0.543210,c
325,0.458462,0.541538,v
326,0.457055,0.542945,c
327,0.458716,0.541284,v
328,0.460366,0.539634,v
329,0.462006,0.537994,v
330,0.460606,0.539394,c
331,0.462236,0.537764,v
332,0.463855,0.536145,v
333,0.462462,0.537538,c
334,0.464072,0.535928,v
335,0.465672,0.534328,v
336,0.464286,0.535714,c
337,0.465875,0.534125,v
338,0.464497,0.535503,c
339,0.463127,0.536873,c
340,0.464706,0.535294,v
341,0.463343,0.536657,c
342,0.464912,0.535088,v
343,0.463557,0.536443,c
344,0.465116,0.534884,v
345,0.463768,0.536232,c
346,0.465318,0.534682,v
347,0.463977,0.536023,c
348,0.465517,0.534483,v
349,0.464183,0.535817,c
350,0.462857,0.537143,c
351,0.464387,0.535613,v
352,0.463068,0.536932,c
353,0.464589,0.535411,v
354,0.463277,0.536723,c
355,0.464789,0.535211,v
356,0.463483,0.536517,c
357,0.462185,0.537815,c
358,0.463687,0.536313,v
359,0.465181,0.534819,v
360,0.463889,0.536111,c
361,0.465374,0.534626,v
362,0.466851,0.533149,v
363,0.468320,0.531680,v
364,0.467033,0.532967,c
365,0.468493,0.531507,v
366,0.467213,0.532787,c
367,0.468665,0.531335,v
368,0.467391,0.532609,c
369,0.468835,0.531165,v
370,0.467568,0.532432,c
371,0.469003,0.530997,v
372,0.467742,0.532258,c
373,0.469169,0.530831,v
374,0.467914,0.532086,c
375,0.466667,0.533333,c
376,0.468085,0.531915,v
377,0.466844,0.533156,c
378,0.468254,0.531746,v
379,0.467018,0.532982,c
380,0.468421,0.531579,v
381,0.467192,0.532808,c
382,0.468586,0.531414,v
383,0.467363,0.532637,c
384,0.468750,0.531250,v
385,0.467532,0.532468,c
386,0.468912,0.531088,v
387,0.467700,0.532300,c
388,0.466495,0.533505,c
389,0.465296,0.534704,c
390,0.466667,0.533333,v
